n,k,seed,method,solved,time_s,plan_len,expanded,generated,bf_min,bf_max,bf_avg,max_frontier,max_closed,max_memory
3,40,5,fast_downward_lmcut,True,0.013667,12,44,121,,,,,,
3,40,6,astar_manhattan,True,0.001144,12,29,51,2,4,2.758621,22,29,51
3,40,6,fast_downward_lmcut,True,0.010167,12,19,50,,,,,,
3,40,7,astar_manhattan,True,0.002660,14,45,78,2,4,2.844444,33,45,78
3,40,7,fast_downward_lmcut,True,0.011763,14,20,55,,,,,,
3,40,8,astar_manhattan,True,0.004766,14,82,142,2,4,2.719512,60,82,142
3,40,8,fast_downward_lmcut,True,0.014010,14,54,145,,,,,,
3,40,9,astar_manhattan,True,0.000974,10,16,31,2,4,2.812500,15,16,31
3,40,9,fast_downward_lmcut,True,0.010245,10,13,34,,,,,,
3,40,10,astar_manhattan,True,0.000235,4,4,10,2,4,3.000000,6,4,10
3,40,10,fast_downward_lmcut,True,0.009636,4,5,12,,,,,,
3,40,11,astar_manhattan,True,0.005040,16,72,122,2,4,2.694444,50,72,122
3,40,11,fast_downward_lmcut,True,0.015346,16,45,122,,,,,,
3,40,12,astar_manhattan,True,0.007808,16,159,260,2,4,2.685535,101,159,260
3,40,12,fast_downward_lmcut,True,0.021286,16,97,260,,,,,,
3,40,13,astar_manhattan,True,0.005484,14,85,149,2,4,2.752941,64,85,149
3,40,13,fast_downward_lmcut,True,0.014159,14,47,127,,,,,,
3,40,14,astar_manhattan,True,0.004307,14,73,129,2,4,2.780822,57,73,129
3,40,14,fast_downward_lmcut,True,0.014839,14,35,95,,,,,,
3,40,15,astar_manhattan,True,0.000501,8,8,16,2,4,2.750000,8,8,16
3,40,15,fast_downward_lmcut,True,0.009054,8,9,22,,,,,,
3,40,16,astar_manhattan,True,0.002880,14,48,83,2,4,2.708333,35,48,83
3,40,16,fast_downward_lmcut,True,0.013035,14,32,86,,,,,,
3,40,17,astar_manhattan,True,0.001972,12,32,55,2,4,2.656250,23,32,55
3,40,17,fast_downward_lmcut,True,0.011846,12,23,62,,,,,,
3,40,18,astar_manhattan,True,0.001061,8,15,29,2,4,2.800000,14,15,29
3,40,18,fast_downward_lmcut,True,0.009503,8,10,27,,,,,,
3,40,19,astar_manhattan,True,0.000377,8,10,21,2,4,2.900000,11,10,21
3,40,19,fast_downward_lmcut,True,0.010376,8,9,24,,,,,,
4,5,0,astar_manhattan,True,0.000418,3,3,9,3,4,3.333333,6,3,9
4,5,0,fast_downward_lmcut,True,0.013941,3,4,10,,,,,,
4,5,1,astar_manhattan,True,0.000544,5,5,15,3,4,3.600000,10,5,15
4,5,1,fast_downward_lmcut,True,0.027095,5,6,18,,,,,,
4,5,2,astar_manhattan,True,0.000302,5,5,12,2,4,3.000000,7,5,12
4,5,2,fast_downward_lmcut,True,0.014563,5,6,15,,,,,,
4,5,3,astar_manhattan,True,0.000327,3,3,9,3,4,3.333333,6,3,9
4,5,3,fast_downward_lmcut,True,0.013170,3,4,10,,,,,,
4,5,4,astar_manhattan,True,0.000209,1,1,4,3,3,3.000000,3,1,4
4,5,4,fast_downward_lmcut,True,0.013785,1,2,3,,,,,,
4,5,5,astar_manhattan,True,0.000221,1,1,4,3,3,3.000000,3,1,4
4,5,5,fast_downward_lmcut,True,0.016201,1,2,3,,,,,,
4,5,6,astar_manhattan,True,0.000384,3,3,10,3,4,3.666667,7,3,10
4,5,6,fast_downward_lmcut,True,0.014558,3,4,11,,,,,,
4,5,7,astar_manhattan,True,0.000524,3,3,10,3,4,3.666667,7,3,10
4,5,7,fast_downward_lmcut,True,0.012771,3,4,11,,,,,,
4,5,8,astar_manhattan,True,0.000194,1,1,4,3,3,3.000000,3,1,4
4,5,8,fast_downward_lmcut,True,0.013875,1,2,3,,,,,,
4,5,9,astar_manhattan,True,0.000461,3,3,9,3,4,3.333333,6,3,9
4,5,9,fast_downward_lmcut,True,0.013076,3,4,10,,,,,,
4,5,10,astar_manhattan,True,0.000206,1,1,4,3,3,3.000000,3,1,4
4,5,10,fast_downward_lmcut,True,0.011574,1,2,3,,,,,,
4,5,11,astar_manhattan,True,0.000211,1,1,4,3,3,3.000000,3,1,4
4,5,11,fast_downward_lmcut,True,0.011973,1,2,3,,,,,,
4,5,12,astar_manhattan,True,0.000132,1,1,4,3,3,3.000000,3,1,4
4,5,12,fast_downward_lmcut,True,0.014159,1,2,3,,,,,,
4,5,13,astar_manhattan,True,0.000099,1,1,4,3,3,3.000000,3,1,4
